Lead_ID,Customer_Name,Industry,Country,Lead_Source,Budget,Company_Size,Salesperson,Status,Revenue,Meetings,Emails,Website_Visits,Last_Contact,Created_Date,Converted,Churned
L100130,Customer_00130,Education,France,Cold Call,27168.68,1000+,Frank Miller,Contacted,0.0,12,24,75,2026-10-26,2026-05-26,0,0
L100131,Customer_00131,Education,France,Social Media,17028.7,1000+,Henry Chen,Won,0.0,6,29,39,2026-02-12,2025-12-19,0,0
L100132,Customer_00132,Technology,Canada,Paid Ads,12984.44,1000+,Alice Johnson,Lost,0.0,15,37,73,2026-01-03,2025-10-13,0,0
L100133,Customer_00133,Education,United States,Social Media,12429.33,1-10,David Wilson,Qualified,0.0,7,26,83,2025-02-19,2024-11-21,0,0
L100134,Customer_00134,Telecom,Brazil,Website,11614.88,201-500,Carol Davis,New,0.0,13,29,70,2026-03-24,2025-11-11,0,0
L100135,Customer_00135,Retail,United States,Cold Call,21072.97,201-500,Henry Chen,Negotiation,0.0,8,1,94,2025-08-14,2025-07-25,0,0
L100136,Customer_00136,Real Estate,Canada,Email Campaign,14731.88,1-10,Bob Smith,New,0.0,5,38,7,2025-10-20,2025-05-10,0,0
L100137,Customer_00137,Technology,India,Cold Call,8023.29,1000+,Bob Smith,Won,0.0,11,16,32,2026-05-03,2026-04-13,0,0
L100138,Customer_00138,Retail,United States,Referral,7755.86,51-200,Carol Davis,Proposal Sent,0.0,12,19,5,2025-09-13,2025-05-22,0,0
L100139,Customer_00139,Manufacturing,United Arab Emirates,Social Media,16549.86,1000+,Alice Johnson,Qualified,19614.45,13,21,17,2026-04-01,2026-02-23,1,0
L100140,Customer_00140,Hospitality,France,Email Campaign,18034.75,1-10,Frank Miller,Proposal Sent,0.0,15,3,37,2025-04-01,2024-10-17,0,0
L100141,Customer_00141,Healthcare,United States,Cold Call,10730.09,201-500,Emma Brown,Proposal Sent,0.0,13,24,2,2026-04-01,2025-12-16,0,0
L100142,Customer_00142,Healthcare,India,Email Campaign,6048.68,1-10,Emma Brown,Contacted,0.0,17,19,39,2026-05-29,2025-12-10,0,0
L100143,Customer_00143,Manufacturing,Australia,Cold Call,32069.98,1000+,Henry Chen,Contacted,0.0,8,11,12,2026-03-15,2025-09-29,0,0
L100144,Customer_00144,Hospitality,India,Referral,27640.11,201-500,David Wilson,Qualified,0.0,10,12,11,2025-12-17,2025-10-30,0,0
L100145,Customer_00145,Energy,Brazil,Email Campaign,3323.71,1-10,Carol Davis,Lost,0.0,9,1,83,2025-06-26,2025-05-14,0,0
L100146,Customer_00146,Technology,Canada,Paid Ads,34122.36,11-50,David Wilson,New,0.0,11,44,74,2025-02-28,2025-02-08,0,0
L100147,Customer_00147,Healthcare,Japan,Social Media,11541.64,51-200,Grace Lee,Contacted,0.0,2,14,45,2024-12-23,2024-08-16,0,0
L100148,Customer_00148,Energy,France,Social Media,15260.01,1-10,Emma Brown,New,9297.6,17,43,56,2024-10-14,2024-10-10,1,0
L100149,Customer_00149,Technology,Australia,Paid Ads,29636.33,1-10,Bob Smith,Qualified,0.0,10,41,29,2026-02-13,2026-01-10,0,0
L100150,Customer_00150,Energy,United Kingdom,Social Media,42479.51,1000+,Frank Miller,New,0.0,11,22,48,2025-10-16,2025-05-06,0,0
L100151,Customer_00151,Healthcare,India,Referral,26957.2,1000+,Frank Miller,Won,19091.21,17,40,77,2026-03-17,2025-11-23,1,0
L100152,Customer_00152,Hospitality,Germany,Email Campaign,15815.11,201-500,Bob Smith,New,0.0,9,10,52,2025-02-28,2024-12-09,0,0
L100153,Customer_00153,Healthcare,India,Email Campaign,5100.28,1000+,Emma Brown,Negotiation,0.0,9,9,79,2026-07-27,2026-07-03,0,0
L100154,Customer_00154,Manufacturing,Japan,Email Campaign,3234.53,201-500,Emma Brown,Contacted,0.0,11,44,48,2024-12-23,2024-07-24,0,0
L100155,Customer_00155,Real Estate,Japan,Referral,24703.77,1-10,Bob Smith,Qualified,0.0,18,32,36,2026-03-23,2025-10-22,0,0
L100156,Customer_00156,Finance,United Arab Emirates,Website,34180.86,501-1000,Alice Johnson,New,0.0,5,34,89,2025-01-31,2025-01-23,0,0
L100157,Customer_00157,Education,United Kingdom,Cold Call,7553.37,1-10,Frank Miller,Won,0.0,3,46,90,2025-07-26,2025-03-15,0,0
L100158,Customer_00158,Education,United Kingdom,Paid Ads,11060.71,501-1000,Emma Brown,Lost,0.0,2,0,22,2025-12-24,2025-10-26,0,0
L100159,Customer_00159,Telecom,United Arab Emirates,Trade Show,9044.52,51-200,Frank Miller,Contacted,0.0,14,8,46,2024-12-16,2024-08-16,0,0
L100160,Customer_00160,Hospitality,France,Partner,8877.45,1-10,David Wilson,Lost,0.0,0,48,77,2026-02-28,2026-01-06,0,0
L100161,Customer_00161,Real Estate,United States,Referral,28352.57,11-50,Emma Brown,Contacted,0.0,14,6,26,2025-01-28,2025-01-26,0,0
L100162,Customer_00162,Manufacturing,Germany,Email Campaign,15566.26,501-1000,Henry Chen,Proposal Sent,0.0,17,22,74,2025-01-24,2024-09-11,0,0
L100163,Customer_00163,Manufacturing,Japan,Social Media,11379.57,1000+,Bob Smith,Negotiation,0.0,13,1,89,2026-09-22,2026-04-25,0,0
L100164,Customer_00164,Manufacturing,France,Email Campaign,85842.03,201-500,Frank Miller,New,0.0,3,16,23,2025-01-20,2024-09-19,0,0
L100165,Customer_00165,Energy,United States,Email Campaign,4894.69,1-10,Bob Smith,Qualified,0.0,13,8,15,2024-11-05,2024-10-09,0,0
L100166,Customer_00166,Retail,Brazil,Cold Call,19604.96,1000+,Alice Johnson,New,0.0,8,12,94,2026-01-05,2025-10-16,0,0
L100167,Customer_00167,Finance,United Kingdom,Website,6410.65,501-1000,Henry Chen,Negotiation,0.0,0,40,99,2025-02-19,2024-11-15,0,0
L100168,Customer_00168,Retail,France,Partner,11965.64,51-200,Bob Smith,Qualified,0.0,3,13,85,2026-12-05,2026-07-16,0,0
L100169,Customer_00169,Technology,United States,Paid Ads,14824.65,201-500,Frank Miller,Lost,0.0,14,40,61,2026-07-22,2026-03-05,0,0
L100170,Customer_00170,Finance,India,Website,24130.14,1000+,Emma Brown,Contacted,22532.91,11,44,8,2025-06-25,2025-01-17,1,0
L100171,Customer_00171,Technology,Canada,Email Campaign,11127.48,51-200,Grace Lee,Lost,0.0,9,27,91,2024-12-28,2024-09-06,0,0
L100172,Customer_00172,Telecom,Japan,Social Media,10333.4,1-10,Emma Brown,New,0.0,15,26,19,2026-10-06,2026-04-20,0,0
L100173,Customer_00173,Telecom,France,Partner,10988.89,1-10,Frank Miller,Proposal Sent,0.0,10,16,17,2025-07-11,2025-02-14,0,0
L100174,Customer_00174,Real Estate,Germany,Paid Ads,6273.15,201-500,Henry Chen,Contacted,7731.37,19,33,71,2026-06-11,2026-05-06,1,0
L100175,Customer_00175,Manufacturing,United Kingdom,Email Campaign,20798.1,1000+,Grace Lee,New,0.0,1,40,38,2025-05-02,2024-12-26,0,0
L100176,Customer_00176,Telecom,Germany,Trade Show,16267.66,501-1000,Frank Miller,New,0.0,5,43,86,2024-10-19,2024-10-04,0,0
L100177,Customer_00177,Finance,Canada,Paid Ads,18117.22,201-500,Bob Smith,Negotiation,0.0,3,9,87,2026-01-02,2025-08-19,0,0
L100178,Customer_00178,Hospitality,United States,Partner,12724.95,11-50,Bob Smith,Contacted,0.0,8,34,80,2026-06-16,2026-05-08,0,0
L100179,Customer_00179,Education,Canada,Cold Call,11672.44,51-200,David Wilson,Proposal Sent,0.0,18,6,83,2026-04-18,2026-02-24,0,0
L100180,Customer_00180,Hospitality,Japan,Partner,30421.97,1-10,Frank Miller,Lost,0.0,8,24,54,2025-10-26,2025-07-15,0,0
L100181,Customer_00181,Finance,Brazil,Email Campaign,27316.62,51-200,Frank Miller,Contacted,0.0,6,4,87,2025-02-20,2024-12-14,0,0
L100182,Customer_00182,Manufacturing,India,Website,35967.12,201-500,Grace Lee,New,0.0,1,27,91,2025-10-30,2025-07-06,0,0
L100183,Customer_00183,Real Estate,Japan,Partner,17340.78,1000+,Alice Johnson,New,0.0,7,42,28,2025-11-04,2025-08-06,0,0
L100184,Customer_00184,Manufacturing,Brazil,Partner,34436.24,1000+,Bob Smith,New,0.0,4,40,42,2025-08-30,2025-05-08,0,0
